id,accountId,userId,deptId,entered,dayDate,shift,chargecount,techcount,aptechcount,seccount,sittercount,antecount,ldcount,ocount,acs,am1,awcm,obed,obed1,ev,scs,cr,pt,ccs,ps1,pp,avariance,lvariance,nvariance,note,atotal,ltotal,aproductivity,lproductivity,nproductivity,oneto1,oneto2,oneto3,oneto4,oneto5,oneto6,oneto7,whpPlan,skill1val,skill2val,skill3val,skill4val,skill5val,skill6val,addResourceHrs,twoto1,procedureCount,actualWHP,actualWHPimport,plannedHours,plannedProcs,admits,transfers,discharges,customChurn,budgetValue,churnValue,visits,totalHours,customNurse,otherNurse2,otherNurse1,oneto8,oneto9,hrsVariance,hrsVarianceActual,activeRecord,censusTotal,planSubmitted,nid,enterpriseId,accountName,prodIndicator,displayProd,prodMeasure,inshiftProd,modalPage,hppd,dept,shiftsperDay,thresholdHigh,rnThreshold,activeDept,thresholdLow,newDate,escalationNote,escalationType,escalationId,viewPage,shiftName,first_init,last_name
107060,19,315,253,"2019-09-12 12:51:11",2019-09-12,52,1.0,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,"3-red, 1-yellow; longest LOS 15:50 (ICU hold)",16,0,0.00,0.00,86.60,0,0,0,15,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.118,0,4.000,8.529,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,1,0,0,1,0,4.586,0.000,1,0,0,107060,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00am,P,ED
107059,19,315,253,"2019-09-12 03:24:33",2019-09-12,46,1.0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,"2-red, 3-yellow; longest LOS 19hr--ICU hold",12,0,0.00,0.00,77.00,0,1,0,10,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.118,0,4.500,6.248,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,1,0,6.461,0.000,1,0,0,107059,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,3:00am,P,ED
107058,19,315,253,"2019-09-12 06:36:08",2019-09-12,40,1.0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,1.000,"ICU hold 22hrs, 1-red; flexed LVN @0530, no triage RN after 0230.",6,0,0.00,0.00,39.20,0,1,0,4,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.118,0,8.900,2.822,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,1,0,15.274,0.000,1,0,0,107058,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,6:00am,P,ED
107061,19,315,253,"2019-09-12 12:53:12",2019-09-12,34,1.0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000,0,4.000,"1 ICU hold LOS 25 hrs - no ICU RNs. 1 psych admission LOS 4 hrs - awiaiting eval.",2,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.118,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,1,0,0,2,0,34.118,0.000,1,0,0,107061,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,9:00am,P,ED
107057,19,315,253,"2019-09-12 12:55:39",2019-09-12,28,1.0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000,0,2.000,"2 psych holds LOS 7 hrs - awaiting transport to BHU and 2 psych pts LOS 2 hrs awaiting psych evaluation.",13,0,0.00,0.00,58.30,0,2,0,9,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,1.118,0,6.000,6.186,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,1,0,0,2,0,15.461,0.000,1,0,0,107057,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00pm,P,ED
107062,19,0,253,"0000-00-00 00:00:00",2019-09-12,22,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107062,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,3:00pm,,
107019,19,0,253,"0000-00-00 00:00:00",2019-09-12,16,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107019,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,6:00pm,,
107018,19,0,253,"0000-00-00 00:00:00",2019-09-12,10,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107018,0,"Paradise Valley",0,1,4,0,tj.editNEW,3.5000,"Emergency Dept. 70100",8,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,9:00pm,,
107024,19,364,229,"2019-09-12 02:42:53",2019-09-12,52,1.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.000,0,-1.000,"CN has 1 pt. assignment starting 2330. 1 pt. on CRRT 1:1 ratio. All 4 pts on the ventilator.",4,0,0.00,0.00,79.20,1,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,5.000,0.000,1,0,0,107024,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00am,p,
107009,19,364,229,"2019-09-12 01:17:37",2019-09-12,38,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,4,0,0.00,0.00,79.20,1,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,5.000,0.000,1,0,0,107009,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/12/19,"one patient 1:1 ratio for CRRT, expecting patient in the ED and 2 cardiac caths on schedule",Staffing,29,v.php?i=,7:00am,p,
107010,19,364,229,"2019-09-12 01:20:06",2019-09-12,26,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,4,0,0.00,0.00,79.20,1,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,5.000,0.000,1,0,0,107010,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,1:00pm,p,
107025,19,0,229,"0000-00-00 00:00:00",2019-09-12,14,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107025,0,"Paradise Valley",0,1,1,0,tj.editNEW,19.0000,"ICU 60100",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,7:00pm,,
107076,19,0,274,"0000-00-00 00:00:00",2019-09-12,52,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107076,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00am,,
107077,19,0,274,"0000-00-00 00:00:00",2019-09-12,42,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107077,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,5:00am,,
107079,19,0,274,"0000-00-00 00:00:00",2019-09-12,26,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107079,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,1:00pm,,
107078,19,0,274,"0000-00-00 00:00:00",2019-09-12,18,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107078,0,"Paradise Valley",0,1,4,0,tj.editNEW,30.4000,"Labor & Delivery 74000",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,5:00pm,,
107030,19,365,230,"2019-09-12 02:04:47",2019-09-12,52,1.0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,18,0,0.00,0.00,104.40,0,0,0,0,18,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,2.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,-2.200,0.000,1,0,0,107030,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,12:00am,p,
107031,19,365,230,"2019-09-12 06:56:14",2019-09-12,38,1.0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,19,0,0.00,0.00,98.40,0,0,0,0,19,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,2.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.900,0.000,1,0,0,107031,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,7:00am,p,
107033,19,0,230,"0000-00-00 00:00:00",2019-09-12,26,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107033,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,1:00pm,,
107032,19,0,230,"0000-00-00 00:00:00",2019-09-12,14,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107032,0,"Paradise Valley",0,1,1,0,tj.editNEW,11.6000,"Med/Surg 61700",4,105.000,3,1,95.000,09/12/19,,,0,v.php?i=,7:00pm,,
107080,19,0,275,"0000-00-00 00:00:00",2019-09-12,52,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107080,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/12/19,,,0,v.php?i=,12:00am,,
107081,19,0,275,"0000-00-00 00:00:00",2019-09-12,42,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0,0.000,0.000,0.000,0.00,0.000,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0.000,0.000,0,0,0,107081,0,"Paradise Valley",0,1,1,0,tj.editNEW,4.8000,"NB Nursery 65320",4,105.000,4,1,95.000,09/12/19,,,0,v.php?i=,5:00am,,
